Id,Titles,Category,Reviews
6973,Toy Story (1995),"Drama, Romance, School, Supernatural",-8.98
6778,Jumanji (1995),"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",8.88
9702,Grumpier Old Men (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",99
6769,Waiting to Exhale (1995),"Sci-Fi, Thriller",99
1123,Father of the Bride Part II (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",-0.44
9860,Heat (1995),"Comedy, Drama, School, Shounen, Sports",-6.65
1803,Sabrina (1995),"Action, Adventure, Shounen, Super Power",99
9721,Tom and Huck (1995),"Drama, Military, Sci-Fi, Space",-5.19
6563,Sudden Death (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",-7.86
1323,GoldenEye (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",3.01
7889,"American President, The (1995)","Drama, Fantasy, Romance, Slice of Life, Supernatural",99
7650,Dracula: Dead and Loving It (1995),"Drama, School, Shounen",-7.23
5467,Balto (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",99
7451,Nixon (1995),"Action, Drama, Mecha, Military, Sci-Fi, Super Power",5.97
5898,Cutthroat Island (1995),"Comedy, Drama, School, Shounen, Sports",-5.92
7355,Casino (1995),"Adventure, Drama, Supernatural",2.91
6791,Sense and Sensibility (1995),"Drama, Music, Romance, School, Shounen",99
8574,Four Rooms (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",0.53
9679,Ace Ventura: When Nature Calls (1995),"Fantasy, Slice of Life",99
5465,Money Train (1995),"Action, Mecha, Military, School, Sci-Fi, Super Power",99
6478,Get Shorty (1995),"Comedy, Drama, Shounen, Sports",99
8670,Copycat (1995),"Action, Drama, Historical, Martial Arts, Romance, Samurai",99
6865,Assassins (1995),"Action, Adventure, Comedy, Drama, Sci-Fi, Space",6.17
1324,Powder (1995),"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",-8.2
6677,Leaving Las Vegas (1995),"Action, Adventure, Fantasy",-0.34
9657,Othello (1995),"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",8.01
4654,Now and Then (1995),"Comedy, Mystery, Romance, Supernatural, Vampire",-3.98
1233,Persuasion (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",-4.61
4647,City of Lost Children (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",99
5871,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Action, Adventure, Comedy, Mecha, Sci-Fi",99
8754,Dangerous Minds (1995),"Comedy, Drama, School, Shounen, Slice of Life",-0.19
2797,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",99
6590,Babe (1995),"Comedy, Drama, Shounen, Sports",-1.41
5236,Dead Man Walking (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",99
7547,It Takes Two (1995),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",5.92
6698,Clueless (1995),"Adventure, Drama, Fantasy, Romance",99
5355,"Cry, the Beloved Country (1995)","Action, Fantasy, Supernatural, Thriller",5.15
7589,Richard III (1995),"Action, Mystery, Supernatural, Vampire",99
7643,Dead Presidents (1995),"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",2.96
6868,Restoration (1995),"Comedy, Drama, Romance, Shounen",99
4172,Mortal Kombat (1995),"Mystery, Police, Psychological, Supernatural, Thriller",-8.74
8558,To Die For (1995),"Comedy, Parody",99
9979,How to Make an American Quilt (1995),"Action, Comedy, School, Shounen",99
1110,Seven (a.k.a. Se7en) (1995),"Comedy, Drama, School, Shounen, Sports",-5.05
1264,Pocahontas (1995),"Comedy, Drama, Shounen, Sports",7.86
3469,When Night Is Falling (1995),"Action, Drama, Mystery, Romance, Supernatural, Thriller",6.31
6439,"Usual Suspects, The (1995)","Drama, Fantasy, Shoujo, Slice of Life, Supernatural",-8.45
7464,Mighty Aphrodite (1995),"Psychological, Seinen, Sports",-7.86
8879,Lamerica (1994),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1.46
8746,"Big Green, The (1995)","Mystery, Psychological, Seinen, Supernatural",-9.42
9844,Georgia (1995),"Mystery, Psychological, Romance",5.15
